grade,subject,level,question,optionA,optionB,optionC,optionD,answer
1,English,Hard,Which word is a place to study?,Star,River,Tree,School,D
1,English,Simple,Choose the plural of 'child'.,River,Island,Moon,Children,D
1,Math,Simple,What is 12 - 5?,7,9,6,8,A
1,General Knowledge,Easy,Which country has the Great Wall?,Forest,Island,China,Car,C
1,Science,Simple,Which gas do humans breathe in?,River,Tree,Book,Oxygen,D
1,General Knowledge,Hard,What currency is used in the United States?,Dollar,Mountain,Car,Forest,A
1,General Knowledge,Hard,Which animal is called the king of the jungle?,Car,River,Lion,Tree,C
1,English,Easy,Which word is an action word?,Run,Moon,Mountain,Tree,A
1,General Knowledge,Easy,What do bees produce?,Honey,Forest,River,Book,A
1,General Knowledge,Simple,Which vehicle flies in the sky?,Mountain,Airplane,River,Book,B
1,English,Simple,Which word describes something small?,Star,Forest,Tiny,Island,C
1,Science,Simple,What process helps plants make food?,Forest,Mountain,Photosynthesis,Star,C
1,English,Hard,Which word is a fruit?,Chair,River,Car,Apple,D
1,General Knowledge,Easy,Sri Lanka is located in which continent?,Mountain,Asia,Car,Chair,B
1,General Knowledge,Simple,Which ocean is the largest on Earth?,Car,Pacific Ocean,Moon,Forest,B
1,Science,Easy,What force pulls objects toward Earth?,Car,Island,Tree,Gravity,D
1,Math,Easy,What is 6 + 2?,8,7,10,9,A
1,Math,Easy,What is 4 + 9?,13,15,14,12,A
1,General Knowledge,Simple,Which country is famous for pizza and pasta?,Island,Mountain,River,Italy,D
1,Science,Easy,Which planet do we live on?,Earth,Book,Tree,Chair,A
1,English,Easy,Which word means very big?,Car,Chair,Huge,Island,C
1,Science,Easy,Which planet is known as the Red Planet?,Forest,Chair,Mars,Moon,C
1,Math,Simple,What is 20 - 6?,15,16,14,13,C
1,Math,Easy,What is 9 + 6?,16,14,15,17,C
1,Math,Simple,What is 15 - 7?,8,7,9,10,A
1,Math,Simple,What is 17 - 3?,15,14,13,16,B
1,Math,Hard,What is 11 × 9?,101,98,99,100,C
1,Math,Simple,What is 18 - 3?,16,14,15,17,C
1,English,Hard,What is the opposite of hot?,Cold,Book,Island,Star,A
1,English,Simple,Which word names a drink?,Star,Milk,Tree,River,B
1,Science,Hard,What is the boiling point of water in Celsius?,River,Island,100,Star,C
1,Math,Simple,What is 16 - 7?,9,8,10,11,A
1,Science,Hard,Which animal lays eggs?,Chicken,Book,River,Forest,A
1,Math,Simple,What is 13 - 9?,5,4,6,3,B
1,Math,Hard,What is 5 × 4?,22,20,21,19,B
1,Math,Hard,What is 8 × 3?,23,25,26,24,D
1,English,Easy,Which word is a color?,Blue,Book,Forest,Mountain,A
1,Math,Easy,What is 1 + 7?,8,7,9,10,A
1,Math,Simple,What is 12 - 6?,7,8,6,5,C
1,General Knowledge,Easy,What is the capital city of France?,Mountain,Island,Forest,Paris,D
1,Math,Easy,What is 8 + 6?,16,14,13,15,B
1,Science,Easy,What do plants need to grow?,Star,Moon,Water,River,C
1,English,Simple,Which word means fast?,Tree,Car,Quick,Island,C
1,Math,Easy,What is 3 + 9?,11,12,13,14,B
1,Math,Simple,What is 18 - 1?,19,17,18,16,B
1,Science,Simple,Which body part helps us see?,Mountain,Forest,River,Eyes,D
1,Math,Simple,What is 12 - 7?,7,6,5,4,C
1,Math,Simple,What is 16 - 3?,13,14,12,15,A
1,Math,Easy,What is 1 + 5?,6,8,5,7,A
